Keyword,Search Volume,Search Intent,Target Page Type,Location,Priority,Notes
mortgage broker bendigo,320,Commercial,Location,Bendigo,High,Primary hub keyword - main commercial term
home loans bendigo,180,Transactional,Location,Bendigo,High,Secondary hub keyword - high intent
bendigo mortgage broker,140,Commercial,Location,Bendigo,Medium,Variation of primary keyword
mortgage broker eaglehawk,45,Commercial,Location,Eaglehawk,Medium,Spoke keyword - suburb targeting
home loans eaglehawk,25,Transactional,Location,Eaglehawk,Low,Secondary spoke keyword
mortgage broker golden square,30,Commercial,Location,Golden Square,Medium,Spoke keyword - another suburb
first home buyer loans,890,Transactional,Service,,High,Primary service keyword - high volume
home loan refinancing,720,Transactional,Service,,High,Major service offering
investment property loans,450,Commercial,Service,,High,High-value service segment
refinance mortgage,340,Transactional,Service,,High,Variation of refinancing keyword
compare home loan rates,280,Commercial,Service,,Medium,Research intent - good for service page
mortgage pre approval,260,Commercial,Service,,Medium,Important process keyword
first home buyer mistakes,260,Informational,Blog,Bendigo,High,High-value blog topic with local angle
bendigo property market 2025,180,Informational,Blog,Bendigo,High,Local market insights - builds authority
how to get a home loan,890,Informational,Blog,,Medium,Evergreen content - leads to service
